Additional file 6 Relative abundance of each microbiota at genus level,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
taxonomy,Median (Interquatile range),,,,,,,,,,,,,,
,all subject,Group 1,Group 2,Group 3,Group 4,Group 10,Group 20,Group 30,Group 40,Group 50,Group 60,Group 70,Group 80,Group 90,Group 100
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,0.09(0.48-5.34),0(0-0),0(0-0),0(0-0),0.02(0-0.08),0.05(0-0.34),0.13(0-0.59),0.07(0-0.35),0.15(0.06-0.62),0.22(0.05-0.67),0.15(0.04-0.34),0.31(0.08-0.87),0.35(0.08-0.93),0.21(0.13-0.45),0.01(0-0.06)
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__,0.08(0.75-51.66),2.83(1.82-11.11),3.09(1.16-9.08),0.44(0.04-0),0.05(0.02-0.21),0.14(0.01-0.26),0.04(0-0.14),0.03(0-0.08),0.03(0-0.13),0.06(0.02-0.13),0.05(0.02-0.15),0.26(0.06-0.74),0.67(0.18-5.62),1.17(0.62-9),8.04(5.32-15.75)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,0.06(0.29-3.86),0(0-0),0(0-0),0.05(0.02-0),0.16(0.02-0.4),0(0-0.06),0.08(0.02-0.24),0.03(0-0.19),0.06(0-0.13),0.05(0-0.22),0.2(0.03-0.27),0.8(0.27-1.54),0.26(0.05-0.86),0.09(0.02-0.58),0.01(0-0.13)
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,0.05(0.3-17.19),0(0-0),0(0-0),0(0-0),0(0-0.18),0(0-0.03),0.05(0-0.28),0.03(0-0.19),0.03(0-0.44),0.03(0-0.09),0.15(0.03-0.31),0.07(0-0.3),0.25(0.08-0.55),0.38(0.22-0.79),0.49(0.21-6.49)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,0.04(0.09-60.01),0.09(0-1.82),0.55(0-11.43),0.01(0-0),0.02(0-0.04),0.01(0-0.05),0.02(0-0.05),0.03(0-0.06),0.04(0-0.09),0.02(0-0.11),0.03(0-0.08),0.05(0.01-0.14),0.06(0.03-0.28),0.19(0.04-0.35),0.05(0-0.35)
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,0.03(0.15-3.01),0(0-0),0(0-0.06),0.01(0-0),0.02(0-0.23),0.11(0-0.4),0.05(0-0.25),0.03(0-0.1),0.02(0-0.14),0.02(0-0.05),0.03(0-0.09),0.14(0.01-0.51),0.1(0.03-0.21),0.07(0.04-0.2),0.08(0.04-0.11)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.03(0.15-45.56),0.01(0-0.03),0.03(0-0.26),0.01(0-0),0(0-0.02),0(0-0.07),0.02(0-0.06),0(0-0.05),0.02(0-0.06),0.03(0-0.13),0.03(0-0.06),0.21(0.09-0.89),0.36(0.08-1.63),0.16(0.02-0.42),0.05(0.02-1.84)
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,0.03(0.15-3.14),0(0-0),0(0-0),0(0-0),0(0-0),0(0-0.02),0.02(0-0.17),0.04(0-0.15),0.02(0-0.19),0(0-0.15),0.2(0.03-0.34),0.06(0.02-0.18),0.1(0.05-0.19),0.13(0.06-0.24),0.02(0.02-0.04)
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.02(0.15-88.85),1.75(0-7.54),0.64(0.05-2.85),0.06(0.03-0),0.04(0.01-0.06),0.02(0-0.27),0.01(0-0.05),0(0-0.05),0.02(0-0.08),0(0-0.03),0(0-0.02),0.02(0.01-0.41),0.07(0.02-0.42),0.16(0.03-2.28),10.72(0.25-22.76)
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0.02(0.08-3.26),0(0-0),0(0-0),0.01(0-0),0.04(0-0.09),0.01(0-0.02),0.02(0-0.06),0.03(0-0.1),0.03(0-0.11),0.06(0-0.13),0.02(0-0.06),0.03(0.01-0.06),0.05(0.01-0.15),0.02(0-0.06),0.02(0-0.05)
